age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,awards,season,player
28,DEN,NBA,C,12,12,40.2,11.1,20.3,.545,1.2,4.4,.264,9.9,15.9,.623,.574,5.3,5.9,.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7,,2023-24,Nikola Jokić
28,PHI,NBA,C,9,9,37.3,7.3,17.0,.431,0.6,3.1,.179,6.8,13.9,.488,.448,8.4,9.3,.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,3.0,23.7,,2022-23,Joel Embiid
26,DEN,NBA,C,5,5,34.2,12.2,21.2,.575,1.0,3.6,.278,11.2,17.6,.636,.599,5.6,6.6,.848,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0,,2021-22,Nikola Jokić
25,DEN,NBA,C,10,10,34.5,11.6,22.8,.509,2.0,5.3,.377,9.6,17.5,.549,.553,4.6,5.5,.836,3.7,7.9,11.6,5.0,0.6,0.9,2.4,2.3,29.8,,2020-21,Nikola Jokić
25,MIL,NBA,PF,9,9,30.8,10.0,17.9,.559,1.4,4.4,.325,8.6,13.4,.636,.599,5.2,9.0,.580,3.0,10.8,13.8,5.7,0.7,0.9,3.3,3.4,26.7,,2019-20,Giannis Antetokounmpo
24,MIL,NBA,PF,15,15,34.3,8.6,17.4,.494,1.2,3.7,.327,7.4,13.7,.539,.529,7.1,11.2,.637,2.4,9.8,12.2,4.9,1.2,2.0,3.3,3.2,25.5,,2018-19,Giannis Antetokounmpo
28,HOU,NBA,SG,17,17,36.5,9.3,22.6,.410,3.1,10.2,.299,6.2,12.4,.502,.478,6.9,7.8,.887,0.8,4.4,5.2,6.8,2.2,0.6,3.8,2.7,28.6,,2017-18,James Harden
28,OKC,NBA,PG,5,5,38.8,11.8,30.4,.388,2.6,9.8,.265,9.2,20.6,.447,.431,11.2,14.0,.800,1.8,9.8,11.6,10.8,2.4,0.4,6.0,3.2,37.4,,2016-17,Russell Westbrook
27,GSW,NBA,PG,18,17,34.1,8.2,18.8,.438,4.4,11.0,.404,3.8,7.8,.486,.556,4.2,4.6,.916,0.8,4.7,5.5,5.2,1.4,0.3,4.2,2.2,25.1,,2015-16,Stephen Curry
26,GSW,NBA,PG,21,21,39.3,9.5,20.9,.456,4.7,11.0,.422,4.9,9.9,.493,.567,4.6,5.5,.835,1.0,4.0,5.0,6.4,1.9,0.1,3.9,2.2,28.3,,2014-15,Stephen Curry
